endpoint,contrast,model_set,model,term,estimate,std.error,statistic,p.value,rate_ratio,rr_low,rr_high
solid,0_0p10_vs_0p10_0p20,minimal,Poisson,dose_group1,0.12110132293795857,0.059341721840339735,2.040745013496313,0.041276178623722425,1.1287392737529363,1.002809004225832,1.2655452434529006
solid,0_0p10_vs_0p10_0p20,minimal,Negative binomial,dose_group1,-0.04070910055587409,0.0769847228051402,-0.528794533155817,0.5969479905251037,0.9601083843236586,0.8202687679706796,1.1216320059881155
solid,0_0p10_vs_0p10_0p20,adjusted,Poisson,dose_group1,0.15306090465292016,0.05953898218196854,2.5707679077401973,0.010147330648001137,1.1653959548174782,1.0349901517617213,1.3071673061358826
solid,0_0p10_vs_0p10_0p20,adjusted,Negative binomial,dose_group1,0.15448034744579675,0.061371832013611224,2.517121330377357,0.011831807681204846,1.1670513422923596,1.0328507613951565,1.3138788076725803
stomach,0_0p10_vs_0p10_0p20,minimal,Poisson,dose_group1,0.09448224703788738,0.11360008529711386,0.8317092966151831,0.40557305189557624,1.0990896508628603,0.8731322669318341,1.3638025091781734
stomach,0_0p10_vs_0p10_0p20,minimal,Negative binomial,dose_group1,-0.03971366860258381,0.1276096471052051,-0.3112121183897853,0.755639371024678,0.9610645827243003,0.7381367839487699,1.2382121358994396
stomach,0_0p10_vs_0p10_0p20,adjusted,Poisson,dose_group1,0.10709608461757096,0.11402904298619783,0.9392000652898048,0.3476280355212448,1.113041195479159,0.8835454737065601,1.382313448076126
stomach,0_0p10_vs_0p10_0p20,adjusted,Negative binomial,dose_group1,0.11565847278082338,0.11625007088554494,0.9949109871485238,0.3197795586597141,1.1226124039620347,0.8875551482110153,1.4005339468766593
solid,0_0p20_vs_0p20_0p50,minimal,Poisson,dose_group1,0.12480260005508276,0.05643241402473785,2.211541048029134,0.02699839262475986,1.1329247917007048,1.0124865882247986,1.2632536007423607
solid,0_0p20_vs_0p20_0p50,minimal,Negative binomial,dose_group1,-0.0020361920051883858,0.07695752678882015,-0.026458646608744574,0.9788915172672088,0.9979658796274334,0.8528863967435875,1.1661748174358033
solid,0_0p20_vs_0p20_0p50,adjusted,Poisson,dose_group1,0.1736705693862366,0.05657630758019092,3.0696695633605455,0.002142957213764124,1.1896635896529215,1.0628984098217373,1.3269129554219674
solid,0_0p20_vs_0p20_0p50,adjusted,Negative binomial,dose_group1,0.17573702463367016,0.058707156036333044,2.9934515057228963,0.0027584134121185727,1.192124518043905,1.0605459882391568,1.3356846224293508
stomach,0_0p20_vs_0p20_0p50,minimal,Poisson,dose_group1,0.002324219329107692,0.11209680617490278,0.020734037020477204,0.9834578172349354,1.0023269224206395,0.7987472419977126,1.2402260902629199
stomach,0_0p20_vs_0p20_0p50,minimal,Negative binomial,dose_group1,-0.12812671118834618,0.12889446880874508,-0.9940435177126327,0.3202016815255827,0.8797418989404457,0.6752500739070512,1.1347843916066156
stomach,0_0p20_vs_0p20_0p50,adjusted,Poisson,dose_group1,0.06753428478940733,0.11234084418922666,0.6011552189838697,0.5477366076544748,1.0698669391318254,0.8522011097358734,1.3244489042898375
stomach,0_0p20_vs_0p20_0p50,adjusted,Negative binomial,dose_group1,0.0782765480030668,0.11445949031374276,0.6838799280732809,0.49405098962854516,1.0814216823277005,0.8577942014139079,1.3450979795309232
