endpoint,contrast,method,excess_rate_100k,excess_lo,excess_hi,rr,rr_lo,rr_hi
solid,control_vs_high,CountBCF (NB),348.95515458593053,244.06426707338167,465.9019993163089,1.5601837652567994,1.385908488928399,1.753528160859946
solid,control_vs_high,NB (adjusted),374.9643364154416,275.88758895733815,491.13892812278795,1.6113783248240705,1.44493303003044,1.796996851582891
solid,control_vs_high,Poisson (adjusted),373.15321272442867,269.77694932052606,482.8619108369305,1.6091493955128722,1.4439423669397893,1.793258398925707
solid,control_vs_moderate,CountBCF (NB),88.8149663254927,27.739133239953226,157.8948497615818,1.143030440658604,1.0455955692518766,1.2572562372696139
solid,control_vs_moderate,NB (adjusted),107.15900075268094,47.69017473317515,168.5003818573468,1.1747224575976964,1.0794291961449642,1.2784283187009935
solid,control_vs_moderate,Poisson (adjusted),107.71499242933457,48.1113371485256,168.01512494211713,1.175838021189593,1.0814451694065255,1.278469857915956
stomach,control_vs_high,CountBCF (NB),65.86819993416883,15.613917502937404,118.4026067173393,1.3676619957912755,1.0861314629290302,1.6735820440354132
stomach,control_vs_high,NB (adjusted),76.87778235298684,29.312793051691212,136.29055898512698,1.446047177508991,1.1635547357912048,1.7971242566081995
stomach,control_vs_high,Poisson (adjusted),75.68998828226827,27.96659905893595,134.33372826617864,1.4380992854077659,1.1585463399188842,1.785107322366689
stomach,control_vs_moderate,CountBCF (NB),6.450553249650911,-23.841799804073865,39.039991120106215,1.0371744638306573,0.8691668692557026,1.2226820478354576
stomach,control_vs_moderate,NB (adjusted),16.1212828253115,-12.06251996789126,49.10191993324183,1.0935361619698827,0.9277150957724444,1.288996312537249
stomach,control_vs_moderate,Poisson (adjusted),15.423343143133758,-11.650706523838751,48.297169384824514,1.0892714579953053,0.925579357863018,1.2819131056926805
