endpoint,model,aic,poisson_overdisp,treated,base_rate_100k,excess_rate_100k,excess_lo,excess_hi,rr,rr_lo,rr_hi
solid,Poisson (minimal),13957.959844569892,3.587146476125914,moderate,615.65114489898,83.49541725716664,26.340720140721448,144.6808395645793,1.1356213140330749,1.0450562952821552,1.23403473545702
solid,Poisson (minimal),13957.959844569892,3.587146476125914,high,615.65114489898,352.6723831791008,254.62934520234933,461.7332898926845,1.572844517712981,1.411833093480142,1.752218366550547
solid,Poisson (adjusted),9334.842108159013,1.6722334443275833,moderate,612.5807814522299,107.71499242933457,48.1113371485256,168.01512494211713,1.175838021189593,1.0814451694065255,1.278469857915956
solid,Poisson (adjusted),9334.842108159013,1.6722334443275833,high,612.5807814522299,373.15321272442867,269.77694932052606,482.8619108369305,1.6091493955128722,1.4439423669397893,1.793258398925707
solid,NB (minimal),11757.803905489543,NA,moderate,811.6523363240136,-19.933083766650675,-105.04714952849561,77.69470561143706,0.9754413523197285,0.8695284547353473,1.094254968464417
solid,NB (minimal),11757.803905489543,NA,high,811.6523363240136,302.86896825128946,159.85570085537597,466.28001575425947,1.3731511075579328,1.1966520816365498,1.5756826843178129
solid,NB (adjusted),9335.426765815384,NA,moderate,613.3098299213353,107.15900075268094,47.69017473317515,168.5003818573468,1.1747224575976964,1.0794291961449642,1.2784283187009935
solid,NB (adjusted),9335.426765815384,NA,high,613.3098299213353,374.9643364154416,275.88758895733815,491.13892812278795,1.6113783248240705,1.44493303003044,1.796996851582891
stomach,Poisson (minimal),6194.5842577221965,3.511835307887208,moderate,173.68891121553727,8.901248240890485,-18.051600513313304,40.653448178244844,1.0512482240725465,0.894221729627841,1.2358487744148368
stomach,Poisson (minimal),6194.5842577221965,3.511835307887208,high,173.68891121553727,69.1893830584799,22.056877850446426,128.39595139514626,1.3983523333428012,1.127187376052249,1.734750840639842
stomach,Poisson (adjusted),4704.313376868474,2.1694467163899307,moderate,172.76902931220022,15.423343143133758,-11.650706523838751,48.297169384824514,1.0892714579953053,0.925579357863018,1.2819131056926805
stomach,Poisson (adjusted),4704.313376868474,2.1694467163899307,high,172.76902931220022,75.68998828226827,27.96659905893595,134.33372826617864,1.4380992854077659,1.1585463399188842,1.785107322366689
stomach,NB (minimal),15790.545212573392,NA,moderate,262.5667842269114,70.763370886219107,-259.1840218744714,35571.30923258653,1.2695061795214169,0.012126571521867819,132.9020273320275
stomach,NB (minimal),15790.545212573392,NA,high,262.5667842269114,1527.9003903503688,-251.3287623839573,317666.93494848564,6.819092444800445,0.04156986422840527,1118.599317891454
stomach,NB (adjusted),4704.9772091906025,NA,moderate,172.35347790411078,16.1212828253115,-12.06251996789126,49.10191993324183,1.0935361619698827,0.9277150957724444,1.288996312537249
stomach,NB (adjusted),4704.9772091906025,NA,high,172.35347790411078,76.87778235298684,29.312793051691212,136.29055898512698,1.446047177508991,1.1635547357912048,1.7971242566081995
